Origin,DayofMonth,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,UnknownDelay
ABE,1,0.0,0.0,0.0,0.0,0.0,2.0
ABE,2,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,3,0.0,0.0,15.0,0.0,0.0,0.0
ABE,4,21.0,0.0,57.0,0.0,0.0,0.0
ABE,5,0.0,0.0,0.0,0.0,0.0,14.0
ABE,6,0.0,0.0,0.0,0.0,0.0,17.0
ABE,7,0.0,0.0,117.0,0.0,24.0,33.0
ABE,8,0.0,0.0,0.0,0.0,0.0,16.0
ABE,9,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,10,11.0,0.0,51.0,0.0,3.0,0.0
ABE,11,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,12,0.0,0.0,0.0,0.0,0.0,2.0
ABE,13,0.0,0.0,67.0,0.0,0.0,0.0
ABE,14,0.0,0.0,0.0,0.0,57.0,12.0
ABE,15,0.0,0.0,0.0,0.0,0.0,17.0
ABE,16,214.0,0.0,0.0,0.0,0.0,20.0
ABE,17,0.0,0.0,0.0,0.0,0.0,11.0
ABE,18,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,19,0.0,0.0,0.0,0.0,0.0,27.0
ABE,20,22.0,0.0,0.0,0.0,0.0,28.0
ABE,21,0.0,0.0,18.0,0.0,0.0,1.0
ABE,22,23.0,0.0,0.0,0.0,0.0,11.0
ABE,23,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,24,0.0,0.0,0.0,0.0,0.0,4.0
ABE,25,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,26,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,27,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,28,0.0,0.0,0.0,0.0,0.0,4.0
ABE,29,0.0,0.0,0.0,0.0,0.0,19.0
ABE,30,0.0,0.0,0.0,0.0,0.0,-0.0
ABQ,1,301.0,0.0,25.0,0.0,319.0,116.0
ABQ,2,5.0,0.0,20.0,0.0,131.0,35.0
ABQ,3,77.0,0.0,38.0,0.0,72.0,56.0
ABQ,4,117.0,0.0,34.0,0.0,254.0,104.0
ABQ,5,35.0,19.0,79.0,0.0,195.0,81.0
ABQ,6,0.0,0.0,41.0,0.0,42.0,76.0
ABQ,7,84.0,0.0,30.0,0.0,113.0,144.0
ABQ,8,965.0,0.0,50.0,0.0,486.0,79.0
ABQ,9,433.0,0.0,117.0,0.0,683.0,0.0
ABQ,10,105.0,1.0,71.0,0.0,430.0,58.0
ABQ,11,37.0,0.0,70.0,0.0,302.0,146.0
ABQ,12,2.0,0.0,5.0,0.0,90.0,81.0
ABQ,13,553.0,0.0,9.0,0.0,22.0,61.0
ABQ,14,29.0,0.0,58.0,0.0,87.0,34.0
ABQ,15,40.0,0.0,62.0,8.0,375.0,54.0
ABQ,16,19.0,0.0,0.0,0.0,39.0,43.0
ABQ,17,237.0,0.0,171.0,0.0,585.0,0.0
ABQ,18,157.0,182.0,11.0,0.0,22.0,140.0
ABQ,19,103.0,16.0,10.0,0.0,205.0,42.0
ABQ,20,174.0,0.0,55.0,0.0,94.0,16.0
ABQ,21,38.0,0.0,157.0,0.0,332.0,93.0
ABQ,22,95.0,0.0,37.0,0.0,100.0,59.0
ABQ,23,17.0,0.0,21.0,0.0,141.0,42.0
ABQ,24,48.0,0.0,14.0,0.0,169.0,39.0
ABQ,25,27.0,0.0,59.0,0.0,294.0,8.0
ABQ,26,1018.0,17.0,117.0,0.0,126.0,0.0
ABQ,27,243.0,0.0,19.0,0.0,157.0,129.0
ABQ,28,288.0,122.0,63.0,0.0,291.0,114.0
ABQ,29,325.0,87.0,140.0,0.0,422.0,3.0
ABQ,30,16.0,32.0,64.0,0.0,222.0,56.0
ABR,1,0.0,0.0,0.0,0.0,0.0,6.0
ABR,2,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,3,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,4,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,5,158.0,0.0,3.0,0.0,21.0,3.0
ABR,6,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,7,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,8,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,9,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,10,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,11,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,12,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,13,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,14,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,15,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,16,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,17,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,18,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,19,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,20,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,21,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,22,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,23,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,24,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,25,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,26,8.0,0.0,8.0,0.0,0.0,0.0
ABR,27,812.0,0.0,6.0,0.0,0.0,0.0
ABR,28,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,29,0.0,0.0,23.0,0.0,0.0,0.0
