Origin,DepDelayMinutes,Flights,Lat,Lng
ABE,58.80000000000001,191.0,40.65194,-75.44056
ABI,98.2000000000001,28.0,32.41139,-99.68194
ABQ,34.0,1395.0,35.0402777778,-106.6091666667
ABR,65.1,62.0,45.44917,-98.42194
ABY,48.0,82.0,31.53556,-84.19444
ACT,58.3,104.0,31.61139,-97.23056
ACV,35.600000000000136,92.0,40.97806,-124.10861
ACY,33.60000000000002,341.0,39.4575,-74.57722
ADK,25.8,9.0,51.87806,-176.64611
ADQ,22.500000000000007,42.0,57.75,-152.49389
AEX,47.20000000000002,258.0,31.3275,-92.54861
AGS,64.20000000000002,194.0,33.37,-81.9641666667
ALB,29.0,767.0,42.74583333,-73.80527777
AMA,19.80000000000001,248.0,35.21944,-101.70583
ANC,16.600000000000136,1223.0,61.1741666667,-149.9816666667
APN,79.8000000000001,52.0,45.07806,-83.56028
ASE,124.39999999999998,695.0,39.22306,-106.86889
ATL,48.0,30138.0,33.6394444444,-84.4280555556
ATW,44.60000000000005,213.0,44.25806,-88.51917
AUS,30.0,3737.0,30.1944444444,-97.67
AVL,55.40000000000009,212.0,35.43611,-82.54167
AVP,87.5,100.0,41.33833,-75.72333
AZO,62.400000000000006,153.0,42.235,-85.55194
BDL,26.0,1731.0,41.9388888889,-72.6833333333
BET,13.0,83.0,60.7797222222,-161.8380555556
BFL,0.0,178.0,35.43361,-119.05667
BGM,51.60000000000008,58.0,42.20861,-75.97972
BHM,47.0,912.0,33.5616666667,-86.7530555556
BIL,41.60000000000002,240.0,45.80778,-108.54278
BIS,74.3,108.0,46.77278,-100.74583
BJI,17.799999999999997,62.0,47.51083,-94.93472
BLI,21.5,76.0,48.79275,-122.537528
BMI,61.799999999999955,112.0,40.47722,-88.91583
BNA,34.0,4238.0,36.12666666,-86.68194444
BOI,50.5,1208.0,43.5644444444,-116.2227777778
BOS,34.0,9456.0,42.3616666667,-71.0116666667
BPT,101.40000000000002,7.0,29.95083,-94.02056
BQK,88.80000000000001,83.0,31.25889,-81.46639
BQN,39.0,161.0,18.495,-67.12944
BRD,28.400000000000077,53.0,46.39833,-94.13806
BRO,4.5,106.0,25.90694,-97.42583
BRW,16.0,80.0,71.28556,-156.76611
BTM,37.20000000000002,58.0,45.95472,-112.4975
BTR,76.90000000000003,515.0,30.53278,-91.15
BTV,37.0,284.0,44.47194,-73.15333
BUF,27.0,1361.0,42.9405555556,-78.7322222222
BUR,52.0,1968.0,34.2005555556,-118.3586111111
BWI,32.0,7648.0,39.1791666667,-76.6688888889
