Origin,DayofMonth,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,UnknownDelay
ABE,1,0.0,0.0,123.0,0.0,71.0,0.0
ABE,2,0.0,0.0,0.0,0.0,0.0,2.0
ABE,3,29.0,0.0,61.0,0.0,105.0,0.0
ABE,4,0.0,0.0,50.0,0.0,0.0,0.0
ABE,5,0.0,0.0,0.0,0.0,43.0,22.0
ABE,6,0.0,0.0,0.0,0.0,0.0,3.0
ABE,7,0.0,0.0,0.0,0.0,0.0,33.0
ABE,8,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,9,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,10,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,11,0.0,0.0,0.0,0.0,0.0,1.0
ABE,12,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,13,75.0,0.0,0.0,0.0,0.0,11.0
ABE,14,0.0,0.0,0.0,0.0,0.0,17.0
ABE,15,0.0,0.0,0.0,0.0,0.0,8.0
ABE,16,0.0,0.0,0.0,0.0,0.0,6.0
ABE,17,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,18,0.0,0.0,0.0,0.0,0.0,11.0
ABE,19,0.0,0.0,0.0,0.0,0.0,3.0
ABE,20,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,21,0.0,0.0,0.0,0.0,0.0,11.0
ABE,22,166.0,0.0,0.0,0.0,0.0,21.0
ABE,23,0.0,0.0,0.0,0.0,0.0,20.0
ABE,24,25.0,0.0,176.0,0.0,0.0,0.0
ABE,25,33.0,0.0,5.0,0.0,123.0,5.0
ABE,26,0.0,0.0,0.0,0.0,0.0,-0.0
ABE,27,0.0,0.0,0.0,0.0,18.0,6.0
ABE,28,4.0,0.0,19.0,0.0,1.0,13.0
ABE,29,0.0,0.0,0.0,0.0,0.0,2.0
ABE,30,0.0,0.0,31.0,0.0,140.0,0.0
ABE,31,0.0,0.0,105.0,0.0,33.0,21.0
ABQ,1,86.0,0.0,22.0,0.0,56.0,28.0
ABQ,2,7.0,0.0,87.0,0.0,154.0,11.0
ABQ,3,3.0,0.0,49.0,0.0,70.0,1.0
ABQ,4,143.0,0.0,15.0,0.0,18.0,109.0
ABQ,5,50.0,0.0,0.0,0.0,93.0,42.0
ABQ,6,7.0,0.0,92.0,0.0,120.0,0.0
ABQ,7,137.0,27.0,177.0,0.0,151.0,56.0
ABQ,8,56.0,117.0,342.0,0.0,170.0,0.0
ABQ,9,293.0,0.0,178.0,0.0,547.0,0.0
ABQ,10,156.0,0.0,61.0,0.0,342.0,0.0
ABQ,11,113.0,0.0,160.0,0.0,523.0,0.0
ABQ,12,7.0,0.0,22.0,0.0,146.0,51.0
ABQ,13,50.0,0.0,26.0,0.0,131.0,96.0
ABQ,14,126.0,0.0,18.0,0.0,395.0,96.0
ABQ,15,12.0,4.0,31.0,0.0,84.0,38.0
ABQ,16,40.0,0.0,13.0,0.0,209.0,116.0
ABQ,17,314.0,60.0,26.0,0.0,313.0,143.0
ABQ,18,480.0,49.0,83.0,0.0,324.0,66.0
ABQ,19,54.0,0.0,9.0,0.0,59.0,66.0
ABQ,20,14.0,0.0,0.0,0.0,180.0,119.0
ABQ,21,50.0,0.0,27.0,0.0,264.0,59.0
ABQ,22,10.0,0.0,88.0,0.0,122.0,0.0
ABQ,23,49.0,14.0,22.0,0.0,79.0,222.0
ABQ,24,62.0,0.0,22.0,0.0,368.0,136.0
ABQ,25,92.0,0.0,15.0,0.0,399.0,169.0
ABQ,26,78.0,0.0,0.0,0.0,17.0,125.0
ABQ,27,41.0,0.0,5.0,0.0,115.0,87.0
ABQ,28,671.0,43.0,92.0,0.0,178.0,0.0
ABQ,29,21.0,0.0,46.0,0.0,74.0,22.0
ABQ,30,86.0,23.0,318.0,0.0,362.0,66.0
ABQ,31,32.0,0.0,21.0,0.0,152.0,163.0
ABR,1,0.0,0.0,24.0,0.0,0.0,0.0
ABR,2,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,3,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,4,52.0,0.0,0.0,0.0,93.0,-0.0
ABR,5,0.0,0.0,15.0,0.0,0.0,0.0
ABR,6,0.0,0.0,0.0,0.0,0.0,6.0
ABR,7,2.0,0.0,0.0,0.0,249.0,1.0
ABR,8,73.0,0.0,8.0,0.0,16.0,0.0
ABR,9,0.0,0.0,17.0,0.0,0.0,0.0
ABR,10,0.0,0.0,0.0,0.0,0.0,1.0
ABR,11,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,12,0.0,0.0,0.0,0.0,0.0,1.0
ABR,13,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,14,0.0,0.0,39.0,0.0,0.0,0.0
ABR,15,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,16,15.0,0.0,0.0,0.0,0.0,-0.0
ABR,17,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,18,5.0,0.0,12.0,0.0,33.0,0.0
ABR,19,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,20,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,21,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,22,617.0,0.0,12.0,0.0,17.0,0.0
ABR,23,0.0,0.0,0.0,0.0,0.0,6.0
ABR,24,0.0,0.0,0.0,0.0,0.0,21.0
ABR,25,0.0,0.0,0.0,0.0,0.0,9.0
ABR,26,7.0,0.0,0.0,0.0,235.0,-0.0
ABR,27,63.0,0.0,19.0,0.0,0.0,0.0
ABR,28,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,29,0.0,0.0,0.0,0.0,0.0,6.0
ABR,30,0.0,0.0,0.0,0.0,0.0,-0.0
ABR,31,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,1,36.0,0.0,1.0,0.0,0.0,0.0
ABY,2,0.0,0.0,0.0,0.0,0.0,5.0
ABY,3,0.0,0.0,0.0,0.0,0.0,9.0
ABY,4,0.0,0.0,0.0,0.0,46.0,5.0
ABY,5,208.0,0.0,35.0,0.0,0.0,0.0
ABY,6,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,7,0.0,0.0,0.0,0.0,0.0,1.0
ABY,8,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,9,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,10,0.0,0.0,0.0,0.0,0.0,10.0
ABY,11,7.0,0.0,12.0,0.0,47.0,0.0
ABY,12,106.0,0.0,0.0,0.0,0.0,8.0
ABY,13,0.0,0.0,0.0,0.0,0.0,3.0
ABY,14,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,15,0.0,0.0,0.0,0.0,0.0,27.0
ABY,16,0.0,0.0,0.0,0.0,34.0,23.0
ABY,17,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,18,0.0,0.0,0.0,0.0,0.0,5.0
ABY,19,0.0,0.0,0.0,0.0,0.0,1.0
ABY,20,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,21,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,22,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,23,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,24,0.0,0.0,0.0,0.0,0.0,19.0
ABY,25,0.0,0.0,0.0,0.0,33.0,6.0
ABY,26,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,27,0.0,0.0,0.0,0.0,0.0,5.0
ABY,28,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,29,0.0,0.0,0.0,0.0,0.0,-0.0
ABY,30,0.0,0.0,0.0,0.0,0.0,20.0
ABY,31,0.0,0.0,2.0,0.0,96.0,0.0
ACT,1,0.0,0.0,0.0,0.0,0.0,8.0
ACT,2,0.0,0.0,0.0,0.0,0.0,19.0
ACT,3,0.0,0.0,0.0,0.0,0.0,5.0
ACT,4,4.0,0.0,10.0,0.0,86.0,2.0
ACT,5,0.0,0.0,0.0,0.0,0.0,-0.0
ACT,6,0.0,0.0,0.0,0.0,0.0,-0.0
ACT,7,0.0,0.0,34.0,0.0,16.0,0.0
ACT,8,7.0,0.0,6.0,0.0,182.0,5.0
ACT,9,0.0,0.0,0.0,0.0,269.0,53.0
ACT,10,98.0,0.0,0.0,0.0,121.0,17.0
ACT,11,0.0,0.0,0.0,0.0,0.0,15.0
ACT,12,0.0,0.0,0.0,0.0,47.0,11.0
ACT,13,0.0,0.0,0.0,0.0,104.0,24.0
ACT,14,0.0,0.0,0.0,0.0,156.0,16.0
ACT,15,0.0,0.0,0.0,0.0,0.0,8.0
ACT,16,0.0,0.0,0.0,0.0,0.0,8.0
ACT,17,10.0,0.0,17.0,0.0,95.0,0.0
ACT,18,0.0,0.0,0.0,0.0,0.0,8.0
ACT,19,0.0,0.0,0.0,0.0,0.0,-0.0
ACT,20,0.0,0.0,0.0,0.0,0.0,1.0
ACT,21,0.0,0.0,0.0,0.0,0.0,5.0
ACT,22,0.0,0.0,0.0,0.0,0.0,-0.0
ACT,23,0.0,0.0,0.0,0.0,30.0,30.0
ACT,24,0.0,0.0,0.0,0.0,34.0,5.0
ACT,25,210.0,0.0,0.0,0.0,0.0,7.0
ACT,26,0.0,0.0,0.0,0.0,0.0,-0.0
ACT,27,0.0,0.0,0.0,0.0,0.0,-0.0
ACT,28,0.0,0.0,0.0,0.0,0.0,-0.0
ACT,29,0.0,0.0,0.0,0.0,0.0,-0.0
ACT,30,149.0,0.0,15.0,0.0,271.0,0.0
ACT,31,0.0,0.0,3.0,0.0,32.0,13.0
ACV,1,76.0,0.0,0.0,0.0,0.0,20.0
ACV,2,0.0,0.0,15.0,0.0,0.0,0.0
ACV,3,0.0,0.0,64.0,0.0,55.0,0.0
ACV,4,0.0,0.0,31.0,0.0,66.0,0.0
ACV,5,0.0,0.0,0.0,0.0,0.0,-0.0
ACV,6,398.0,0.0,0.0,0.0,0.0,9.0
ACV,7,0.0,0.0,0.0,0.0,43.0,13.0
ACV,8,0.0,0.0,0.0,0.0,0.0,7.0
ACV,9,0.0,0.0,0.0,0.0,118.0,9.0
ACV,10,0.0,0.0,75.0,0.0,0.0,0.0
ACV,11,0.0,0.0,3.0,114.0,107.0,1.0
ACV,12,0.0,0.0,43.0,0.0,174.0,0.0
ACV,13,121.0,0.0,0.0,0.0,0.0,2.0
ACV,14,0.0,0.0,0.0,0.0,25.0,18.0
ACV,15,0.0,0.0,0.0,0.0,0.0,14.0
ACV,16,0.0,0.0,0.0,0.0,83.0,10.0
ACV,17,0.0,0.0,0.0,0.0,0.0,9.0
ACV,18,0.0,0.0,0.0,0.0,0.0,6.0
ACV,19,0.0,0.0,0.0,0.0,0.0,-0.0
ACV,20,0.0,0.0,20.0,0.0,0.0,0.0
ACV,21,0.0,0.0,14.0,0.0,316.0,0.0
ACV,22,0.0,0.0,0.0,0.0,0.0,14.0
ACV,23,0.0,0.0,0.0,0.0,0.0,21.0
ACV,24,0.0,0.0,0.0,0.0,0.0,-0.0
ACV,25,0.0,0.0,0.0,0.0,0.0,15.0
ACV,26,0.0,0.0,0.0,0.0,0.0,3.0
ACV,27,0.0,0.0,0.0,0.0,96.0,12.0
ACV,28,0.0,0.0,0.0,0.0,22.0,18.0
ACV,29,0.0,0.0,0.0,0.0,0.0,-0.0
ACV,30,0.0,0.0,0.0,0.0,0.0,16.0
ACV,31,0.0,0.0,0.0,0.0,42.0,25.0
ACY,1,0.0,0.0,218.0,0.0,0.0,3.0
ACY,2,0.0,0.0,281.0,0.0,0.0,0.0
ACY,3,0.0,0.0,204.0,0.0,0.0,0.0
ACY,4,0.0,0.0,300.0,0.0,0.0,0.0
ACY,5,0.0,0.0,34.0,0.0,0.0,5.0
ACY,6,0.0,0.0,159.0,0.0,0.0,64.0
ACY,7,0.0,0.0,50.0,0.0,0.0,17.0
ACY,8,0.0,0.0,29.0,0.0,0.0,15.0
ACY,9,0.0,0.0,20.0,0.0,0.0,67.0
ACY,10,0.0,0.0,77.0,0.0,0.0,28.0
ACY,11,0.0,0.0,236.0,0.0,0.0,17.0
ACY,12,0.0,0.0,310.0,0.0,0.0,24.0
ACY,13,0.0,0.0,500.0,0.0,0.0,54.0
ACY,14,0.0,0.0,134.0,0.0,0.0,38.0
ACY,15,0.0,0.0,203.0,0.0,0.0,71.0
ACY,16,0.0,0.0,962.0,0.0,0.0,0.0
ACY,17,0.0,0.0,708.0,0.0,0.0,0.0
ACY,18,0.0,0.0,291.0,0.0,0.0,0.0
ACY,19,0.0,0.0,548.0,0.0,0.0,0.0
ACY,20,0.0,0.0,215.0,0.0,0.0,0.0
ACY,21,0.0,0.0,263.0,0.0,0.0,0.0
ACY,22,0.0,0.0,444.0,0.0,0.0,40.0
ACY,23,0.0,0.0,604.0,0.0,0.0,0.0
ACY,24,0.0,0.0,82.0,0.0,0.0,59.0
ACY,25,0.0,0.0,772.0,0.0,0.0,0.0
ACY,26,0.0,0.0,610.0,0.0,0.0,-0.0
ACY,27,0.0,0.0,210.0,0.0,0.0,0.0
ACY,28,21.0,0.0,212.0,0.0,65.0,0.0
ACY,29,0.0,0.0,223.0,5.0,136.0,0.0
ACY,30,0.0,0.0,51.0,0.0,104.0,35.0
ACY,31,0.0,0.0,0.0,0.0,0.0,-0.0
ADK,3,0.0,0.0,0.0,0.0,0.0,-0.0
ADK,6,0.0,0.0,0.0,0.0,0.0,-0.0
ADK,10,0.0,0.0,0.0,0.0,0.0,-0.0
